set_num,name,year,theme_id,num_parts,img_url
40371,Easter Egg,2020,229,239,https://cdn.rebrickable.com/media/sets/40371-1.jpg
40372,Police Minifigure Accessory Set,2020,61,42,https://cdn.rebrickable.com/media/sets/40372-1.jpg
40373,Fairground Minifigure Accessory Set,2020,535,51,https://cdn.rebrickable.com/media/sets/40373-1.jpg
40374,Golden Zane Minifigure Accessory Set,2020,435,73,https://cdn.rebrickable.com/media/sets/40374-1.jpg
40375,Sports Accessories,2020,646,36,https://cdn.rebrickable.com/media/sets/40375-1.jpg
40376,Botanical Accessories,2020,646,32,https://cdn.rebrickable.com/media/sets/40376-1.jpg
40377,Donald Duck,2020,610,90,https://cdn.rebrickable.com/media/sets/40377-1.jpg
40378,Goofy and Pluto,2020,610,214,https://cdn.rebrickable.com/media/sets/40378-1.jpg
40379,Bear,2020,610,150,https://cdn.rebrickable.com/media/sets/40379-1.jpg
40380,Sheep,2020,610,192,https://cdn.rebrickable.com/media/sets/40380-1.jpg
40381,Monkey King,2020,610,175,https://cdn.rebrickable.com/media/sets/40381-1.jpg
40382,Birthday Set,2020,206,141,https://cdn.rebrickable.com/media/sets/40382-1.jpg
40383,Bride,2020,610,306,https://cdn.rebrickable.com/media/sets/40383-1.jpg
40384,Groom,2020,610,255,https://cdn.rebrickable.com/media/sets/40384-1.jpg
40385,Trophy,2020,301,200,https://cdn.rebrickable.com/media/sets/40385-1.jpg
40386,Batman,2020,694,115,https://cdn.rebrickable.com/media/sets/40386-1.jpg
40388,Mini Doll Dress-Up Kit,2018,579,80,https://cdn.rebrickable.com/media/sets/40388-1.jpg
40389,Pirate Picture Frame,2018,425,171,https://cdn.rebrickable.com/media/sets/40389-1.jpg
40391,First Order Stormtrooper,2020,694,151,https://cdn.rebrickable.com/media/sets/40391-1.jpg
40393,LEGOLAND Fire Academy,2020,425,221,https://cdn.rebrickable.com/media/sets/40393-1.jpg
40394,LEGO House Mini Chef,2020,599,6,https://cdn.rebrickable.com/media/sets/40394-1.jpg
40395,Lunar New Year Dragon,2020,409,67,https://cdn.rebrickable.com/media/sets/40395-1.jpg
40396,Valentine Panda,2020,409,53,https://cdn.rebrickable.com/media/sets/40396-1.jpg
40397,Koi Fish,2020,409,33,https://cdn.rebrickable.com/media/sets/40397-1.jpg
40398,Easter Bunny,2020,409,43,https://cdn.rebrickable.com/media/sets/40398-1.jpg
40399,Flowers and Watering Can,2020,409,47,https://cdn.rebrickable.com/media/sets/40399-1.jpg
40400,Apple Tree,2020,409,37,https://cdn.rebrickable.com/media/sets/40400-1.jpg
40401,Dog and Cat Friendship Day,2020,409,73,https://cdn.rebrickable.com/media/sets/40401-1.jpg
40402,Youth Day Kids,2020,409,63,https://cdn.rebrickable.com/media/sets/40402-1.jpg
40403,Literacy Day Unicorn,2020,409,54,https://cdn.rebrickable.com/media/sets/40403-1.jpg
40404,Teacher's Day,2020,409,43,https://cdn.rebrickable.com/media/sets/40404-1.jpg
40405,Kindness Day Turtle,2020,409,49,https://cdn.rebrickable.com/media/sets/40405-1.jpg
40406,Human Rights Day Dove,2020,409,50,https://cdn.rebrickable.com/media/sets/40406-1.jpg
40407,Death Star II Battle,2020,158,235,https://cdn.rebrickable.com/media/sets/40407-1.jpg
40408,Drag Racer,2020,676,134,https://cdn.rebrickable.com/media/sets/40408-1.jpg
40409,Hot Rod,2020,598,142,https://cdn.rebrickable.com/media/sets/40409-1.jpg
40410,Charles Dickens Tribute,2020,227,333,https://cdn.rebrickable.com/media/sets/40410-1.jpg
40411,12 in 1 Rebuild Into,2020,598,240,https://cdn.rebrickable.com/media/sets/40411-1.jpg
40412,Hagrid & Buckbeak,2020,610,270,https://cdn.rebrickable.com/media/sets/40412-1.jpg
40413,Mini Robots,2020,258,366,https://cdn.rebrickable.com/media/sets/40413-1.jpg
40414,Monty Mole & Super Mushroom Expansion Set,2020,690,164,https://cdn.rebrickable.com/media/sets/40414-1.jpg
40416,Ice Skating Rink,2020,227,304,https://cdn.rebrickable.com/media/sets/40416-1.jpg
40417,Year of the Ox,2021,206,168,https://cdn.rebrickable.com/media/sets/40417-1.jpg
40418,Falcon & Black Widow Team Up,2020,702,60,https://cdn.rebrickable.com/media/sets/40418-1.jpg
40419,Hogwarts Students,2020,246,55,https://cdn.rebrickable.com/media/sets/40419-1.jpg
40420,"Gru, Stuart and Otto",2021,610,244,https://cdn.rebrickable.com/media/sets/40420-1.jpg
40421,"Belle Bottom, Kevin and Bob",2021,610,309,https://cdn.rebrickable.com/media/sets/40421-1.jpg
40422,Frankenstein,2020,610,108,https://cdn.rebrickable.com/media/sets/40422-1.jpg
40423,Halloween Hayride,2020,230,148,https://cdn.rebrickable.com/media/sets/40423-1.jpg
40424,Winter Snowball Fight,2020,206,149,https://cdn.rebrickable.com/media/sets/40424-1.jpg
40425,Nutcracker,2020,610,180,https://cdn.rebrickable.com/media/sets/40425-1.jpg
40426,Christmas Wreath 2-in-1,2020,227,510,https://cdn.rebrickable.com/media/sets/40426-1.jpg
40428,The Joker,2020,694,170,https://cdn.rebrickable.com/media/sets/40428-1.jpg
40429,LEGOLAND Ninjago World,2020,425,440,https://cdn.rebrickable.com/media/sets/40429-1.jpg
40431,BB-8,2020,694,171,https://cdn.rebrickable.com/media/sets/40431-1.jpg
40432,Rebuild the World Minifigure,2019,598,3,https://cdn.rebrickable.com/media/sets/40432-1.jpg
40433,1989 Batmobile - Limited Edition,2019,697,366,https://cdn.rebrickable.com/media/sets/40433-1.jpg
40434,Reindeer,2019,228,77,https://cdn.rebrickable.com/media/sets/40434-1.jpg
40435,Plants from Plants,2019,301,29,https://cdn.rebrickable.com/media/sets/40435-1.jpg
40436,Lucky Cat,2020,610,134,https://cdn.rebrickable.com/media/sets/40436-1.jpg
40438,Extra DOTS - Levi's Confetti Bag,2020,688,110,https://cdn.rebrickable.com/media/sets/40438-1.jpg
40440,German Shepherd and Puppy,2021,610,247,https://cdn.rebrickable.com/media/sets/40440-1.jpg
40441,Shorthair Cat and Kitten,2021,610,250,https://cdn.rebrickable.com/media/sets/40441-1.jpg
40442,Goldfish and Fry,2021,610,186,https://cdn.rebrickable.com/media/sets/40442-1.jpg
40443,Budgie and Chick,2021,610,261,https://cdn.rebrickable.com/media/sets/40443-1.jpg
40448,Vintage Car,2021,576,189,https://cdn.rebrickable.com/media/sets/40448-1.jpg
40449,Easter Bunny's Carrot House,2021,229,232,https://cdn.rebrickable.com/media/sets/40449-1.jpg
40450,Amelia Earhart Tribute,2021,598,203,https://cdn.rebrickable.com/media/sets/40450-1.jpg
40451,Tatooine Homestead,2021,158,217,https://cdn.rebrickable.com/media/sets/40451-1.jpg
40452,Hogwarts Gryffindor Dorms,2021,246,144,https://cdn.rebrickable.com/media/sets/40452-1.jpg
40453,Batman vs. The Penguin & Harley Quinn,2021,697,63,https://cdn.rebrickable.com/media/sets/40453-1.jpg
40454,Spider-Man versus Venom and Iron Venom,2021,706,63,https://cdn.rebrickable.com/media/sets/40454-1.jpg
40456,Mickey Mouse,2021,694,118,https://cdn.rebrickable.com/media/sets/40456-1.jpg
40457,Minnie Mouse,2021,694,140,https://cdn.rebrickable.com/media/sets/40457-1.jpg
40458,LEGO House Mini Chef,2021,599,7,https://cdn.rebrickable.com/media/sets/40458-1.jpg
40460,Roses,2021,301,120,https://cdn.rebrickable.com/media/sets/40460-1.jpg
40461,Tulips,2021,301,111,https://cdn.rebrickable.com/media/sets/40461-1.jpg
40462,Valentine's Brown Bear,2021,232,245,https://cdn.rebrickable.com/media/sets/40462-1.jpg
40463,Easter Bunny,2021,229,293,https://cdn.rebrickable.com/media/sets/40463-1.jpg
40464,Chinatown,2021,646,35,https://cdn.rebrickable.com/media/sets/40464-1.jpg
40465,Food,2021,646,36,https://cdn.rebrickable.com/media/sets/40465-1.jpg
40466,Chinese New Year Pandas,2021,610,249,https://cdn.rebrickable.com/media/sets/40466-1.jpg
40468,Yellow Taxi,2021,22,124,https://cdn.rebrickable.com/media/sets/40468-1.jpg
40469,Tuk Tuk,2021,22,155,https://cdn.rebrickable.com/media/sets/40469-1.jpg
40472,Monkie Kid's RC Race,2021,693,57,https://cdn.rebrickable.com/media/sets/40472-1.jpg
40473,LEGOLAND Water Park,2021,425,360,https://cdn.rebrickable.com/media/sets/40473-1.jpg
40474,Build Your Own Monkey King,2020,693,24,https://cdn.rebrickable.com/media/sets/40474-1.jpg
40476,Daisy Duck,2021,610,110,https://cdn.rebrickable.com/media/sets/40476-1.jpg
40477,"Scrooge McDuck, Huey, Dewey & Louie",2021,610,340,https://cdn.rebrickable.com/media/sets/40477-1.jpg
40478,Mini Disney Castle,2021,608,567,https://cdn.rebrickable.com/media/sets/40478-1.jpg
40479,Dalmatian and Puppy,2021,610,252,https://cdn.rebrickable.com/media/sets/40479-1.jpg
40480,Ginger Tabby and Kitten,2021,610,269,https://cdn.rebrickable.com/media/sets/40480-1.jpg
40481,Cockatiel and Chick,2021,610,219,https://cdn.rebrickable.com/media/sets/40481-1.jpg
40482,Hamster and Baby Hamster,2021,610,243,https://cdn.rebrickable.com/media/sets/40482-1.jpg
40483,Luke Skywalker's Lightsaber,2021,158,173,https://cdn.rebrickable.com/media/sets/40483-1.jpg
40484,Santa's Front Yard,2021,227,317,https://cdn.rebrickable.com/media/sets/40484-1.jpg
40485,FC Barcelona Celebration,2021,598,178,https://cdn.rebrickable.com/media/sets/40485-1.jpg
40486,Adidas Originals Superstar,2021,598,92,https://cdn.rebrickable.com/media/sets/40486-1.jpg
40487,Sailboat Adventure,2021,576,330,https://cdn.rebrickable.com/media/sets/40487-1.jpg
40488,Coffee Cart,2021,22,149,https://cdn.rebrickable.com/media/sets/40488-1.jpg
40489,Mr. and Mrs. Claus' Living Room,2021,227,340,https://cdn.rebrickable.com/media/sets/40489-1.jpg
40490,Ninjago 10,2021,610,406,https://cdn.rebrickable.com/media/sets/40490-1.jpg
40491,Year of the Tiger,2022,206,193,https://cdn.rebrickable.com/media/sets/40491-1.jpg
40492,La Catrina,2021,610,141,https://cdn.rebrickable.com/media/sets/40492-1.jpg
40493,Spider & Haunted House Pack,2021,230,132,https://cdn.rebrickable.com/media/sets/40493-1.jpg
40494,Polar Bear & Gift Pack,2021,227,142,https://cdn.rebrickable.com/media/sets/40494-1.jpg
40495,"Harry, Hermione, Ron & Hagrid",2021,610,466,https://cdn.rebrickable.com/media/sets/40495-1.jpg
40496,"Voldemort, Nagini & Bellatrix",2021,610,344,https://cdn.rebrickable.com/media/sets/40496-1.jpg
40497,Halloween Owl,2021,230,228,https://cdn.rebrickable.com/media/sets/40497-1.jpg
40498,Christmas Penguin,2021,227,244,https://cdn.rebrickable.com/media/sets/40498-1.jpg
40499,Santa's Sleigh,2021,227,343,https://cdn.rebrickable.com/media/sets/40499-1.jpg
40500,Wizarding World Minifigure Accessory Set,2021,246,33,https://cdn.rebrickable.com/media/sets/40500-1.jpg
40501,The Wooden Duck,2020,599,621,https://cdn.rebrickable.com/media/sets/40501-1.jpg
40502,The Brick Moulding Machine,2021,599,1205,https://cdn.rebrickable.com/media/sets/40502-1.jpg
40503,Dagny Holm - Master Builder,2022,599,1072,https://cdn.rebrickable.com/media/sets/40503-1.jpg
40504,A Minifigure Tribute,2023,599,1041,https://cdn.rebrickable.com/media/sets/40504-1.jpg
40505,Building Systems,2024,599,1211,https://cdn.rebrickable.com/media/sets/40505-1.jpg
40511,Minions Kung Fu Training,2021,689,54,https://cdn.rebrickable.com/media/sets/40511-1.jpg
40512,Fun and Funky VIP Add On Pack,2021,598,148,https://cdn.rebrickable.com/media/sets/40512-1.jpg
40513,Spooky VIP Add On Pack,2021,598,83,https://cdn.rebrickable.com/media/sets/40513-1.jpg
40514,Winter Wonderland VIP Add On Pack,2021,598,139,https://cdn.rebrickable.com/media/sets/40514-1.jpg
40515,Pirates and Treasure VIP Add On Pack,2022,598,103,https://cdn.rebrickable.com/media/sets/40515-1.jpg
40516,Everyone Is Awesome,2021,721,346,https://cdn.rebrickable.com/media/sets/40516-1.jpg
40517,Vespa,2022,22,118,https://cdn.rebrickable.com/media/sets/40517-1.jpg
40518,High-Speed Train,2022,22,284,https://cdn.rebrickable.com/media/sets/40518-1.jpg
40519,New York Postcard,2022,22,253,https://cdn.rebrickable.com/media/sets/40519-1.jpg
40521,Mini Disney The Haunted Mansion,2022,608,680,https://cdn.rebrickable.com/media/sets/40521-1.jpg
40522,Valentine Lovebirds,2022,232,298,https://cdn.rebrickable.com/media/sets/40522-1.jpg
40523,Easter Rabbits Display,2022,229,288,https://cdn.rebrickable.com/media/sets/40523-1.jpg
40524,Sunflowers,2022,301,191,https://cdn.rebrickable.com/media/sets/40524-1.jpg
40525,Endgame Battle Accessory Pack,2022,702,62,https://cdn.rebrickable.com/media/sets/40525-1.jpg
40526,Electric Scooters & Charging Dock,2022,52,50,https://cdn.rebrickable.com/media/sets/40526-1.jpg
